system,time_s,coordinate_name,coordinate_units,coordinate,velocity,acceleration,force_N,kinetic_energy_J,potential_energy_J,total_energy_J,period_s,frequency_Hz,angular_frequency_rad_s,amplitude,mass_kg,stiffness_or_length,damping,driving_force_or_torque,driving_frequency_rad_s
Simple Pendulum,2.1140413665367914,theta,rad,-0.11824029474949731,0.0024973419121222737,0.299376141626853,0.898128424880559,2.8065224817191403e-05,0.20548741742811036,0.20551548265292754,3.4776483708805284,0.28755063576102824,1.8067339296838416,0.11824837845376988,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.1275851665219916,theta,rad,-0.11817896596623471,0.006562443185703457,0.3008922061367457,0.9026766184102372,0.00019379547254513583,0.2052745566911218,0.20546835216366693,3.4776476725897845,0.28755069349946705,1.806734292465152,0.11823480301490728,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.1775851665219914,theta,rad,-0.117472679473249,0.02172626795560662,0.3053608372132663,0.9160825116397988,0.0021241382367546855,0.20283109075016492,0.20495522898691962,3.4776400701386874,0.2875513221125613,1.8067382421577096,0.11808690279301388,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.1896813665439065,theta,rad,-0.1171875139387006,0.02542496602393016,0.30616817024925813,0.9185045107477744,0.002908930037931014,0.2018486648016208,0.20475759483955183,3.4776371420041396,0.287551564227804,1.806739763412645,0.11802988844464285,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.2396813665439064,theta,rad,-0.11553245477900584,0.040795456320184456,0.30833353772651806,0.9250006131795542,0.007489211653674351,0.19619373896077516,0.20368295061444952,3.4776212203401147,0.287552880730984,1.8067480352460827,0.11771938941157183,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.2536103665518263,theta,rad,-0.1149342942563408,0.045092220392242935,0.3085934142724847,0.9257802428174542,0.009149887529561746,0.19416967277102634,0.2033195603005881,3.4776158365130065,0.28755332590235055,1.8067508323402721,0.11761420974837797,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.303610366551826,theta,rad,-0.1122938729914459,0.06052184258510579,0.3082577831752181,0.9247733495256544,0.016483020434533462,0.185359979221346,0.20184299965587946,3.4775939608419195,0.2875551347454899,1.8067621976369082,0.11718586753248363,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.317912766492615,theta,rad,-0.11139675150721497,0.06492752546390113,0.30779038386316,0.92337115158948,0.01897012603289488,0.18241316026732,0.20138328630021488,3.4775871501826363,0.28755569790608465,1.8067657360792828,0.11705218867847038,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.3679127664926147,theta,rad,-0.10776665485110912,0.08025166968004956,0.3048289996261053,0.914486998878316,0.028981487188961038,0.17072955887859229,0.19971104606755333,3.477562376428465,0.2875577464197846,1.806778607270464,0.11656463510842453,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.3760688664314022,theta,rad,-0.10710198269852693,0.08273514535055562,0.30414774151498314,0.9124432245449494,0.030802969242799044,0.16863204422708744,0.19943501346988649,3.4775582871619557,0.2875580845594115,1.8067807318643994,0.11648396050053379,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.426068866431402,theta,rad,-0.10258707310566616,0.0978161640484822,0.29873823842793806,0.8962147152838142,0.04305600877121812,0.15472647492927152,0.19778248370048965,3.477533806322554,0.2875601088857528,1.806793451081924,0.11599981615673371,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.4611506665047873,theta,rad,-0.09897265889213427,0.10821054308022854,0.29366465426453364,0.880993962793601,0.052692847351730986,0.14402444116627547,0.19671728851800646,3.4775180267624988,0.28756141371637417,1.8068016495745125,0.1156866751103218,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.46751646643194,theta,rad,-0.09827786900580407,0.11007667959052017,0.29263021685711577,0.8778906505713473,0.05452593925353319,0.14201105244276507,0.19653699169629826,3.4775153559181304,0.2875616345728489,1.8068030372566695,0.11563358876393319,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.51751646643194,theta,rad,-0.09241191551436916,0.1244835804888532,0.28328455123627133,0.8498536537088139,0.06973272815096157,0.12557613660162575,0.19530886475258732,3.477497163186783,0.28756313896848695,1.8068124896532387,0.1152713332215953,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.5668289664822312,theta,rad,-0.08593326693186137,0.13818208918242078,0.2719438164770556,0.8158314494311669,0.0859243039686832,0.10859645300687071,0.1945207569755539,3.477485488859476,0.2875641043517262,1.8068185553350233,0.11503827009877314,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.6030330664866286,theta,rad,-0.08075433485206523,0.14785603913599843,0.2622799871563662,0.7868399614690986,0.09837633739043655,0.09590824188596472,0.19428457927640128,3.47748199036756,0.2875643936532085,1.8068203730698464,0.11496833486221074,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.6530330664866284,theta,rad,-0.0730397904528245,0.16059915297652402,0.2470905940421215,0.7412717821263645,0.11606439571549633,0.07846685058394587,0.19453124629944218,3.4774856442378277,0.28756409150300705,1.80681847460414,0.11504137514001987,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.667815466473499,theta,rad,-0.07063892911623378,0.16421578852491114,0.24219531924666698,0.7265859577400009,0.12135071340386253,0.07339523804720181,0.19474595145106433,3.4774888246720437,0.2875638285032615,1.806816822128003,0.11510491366394676,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.717815466473499,theta,rad,-0.06213263958812832,0.17588661447286122,0.22429501571662652,0.6728850471498795,0.13921245517826208,0.056788468351377325,0.1960009235296394,3.4775074148751495,0.2875622912326421,1.8068071631718339,0.11547560608610777,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.7302896664633094,theta,rad,-0.05992126724532332,0.17865480918101834,0.21951131707093555,0.6585339512128067,0.14362893379577737,0.05281925786153118,0.19644819165730856,3.477514040473577,0.28756174334922807,1.806803720718817,0.11560743368372739,1.0,3.0,0.05,1.0,1.808
